complex_id_number,structure_name,longitude,latitude,serialid
2060,1,-92.83826249,28.91557359,447
90016,A,-92.95381338,28.90630774,448
78,A,-92.98648969,28.88316686,449
2157,D,-92.73779107,28.86573704,450
994,A,-92.72056247,28.83368293,451
23035,A,-92.736523,28.819245,452
29,B,-92.76028878,28.83190031,453
1202,C,-92.74223642,28.82347017,454
24001,B,-92.881737,28.799287,455
24060,C,-92.88444838,28.79716481,456
24009,A,-92.93829013,28.79673445,457
837,3,-92.92653765,28.76379001,458
854,4,-92.94173845,28.77040102,459
731,E,-92.95487104,28.77191547,460
90003,C,-92.87616207,28.76545075,461
1756,C,-92.84155141,28.789224,462
21224,A,-92.802706,28.756388,463
736,B,-92.81371967,28.77348344,464
525,GP,-92.80228676,28.75565837,465
1025,A,-92.75831961,28.7753867,466
24091,A,-92.62883336,28.79589185,467
24086,1,-92.624001,28.742673,468
27006,1,-92.65011,28.742741,469
1462,A,-92.84170438,28.72592739,470
1791,A,-92.86783835,28.73071726,471
23335,A,-92.783729,28.691577,472
1744,B,-92.78513576,28.69830999,473
22462,A,-92.68658,28.692851,474
90022,A,-92.72335833,28.70589338,475
22462,B,-92.686588,28.692559,476
23246,C,-92.72259,28.676755,477
23081,D,-92.702896,28.677442,478
23608,A,-92.675118,28.669766,479
23607,B,-92.634648,28.638702,480
1222,C,-92.66159486,28.65045169,481
22524,A,-92.69778,28.662685,482
22943,B,-92.720016,28.663272,483
23668,6,-92.747643,28.656877,484
22982,A,-92.726706,28.663926,485
23658,B,-92.744605,28.674018,486
21501,A - AUX,-92.790746,28.647901,487
24050,B,-92.773153,28.653597,488
27027,C,-92.79482026,28.67097667,489
1530,D #7,-92.77139932,28.63443828,490
21501,PROD,-92.791058,28.647897,491
24078,2,-92.816136,28.63451,492
27004,A,-92.99440538,28.64914624,493
20135,A,-92.891593,28.625198,494
1043,AJ,-92.81584424,28.60317775,495
21906,A,-92.792981,28.614648,496
22239,B,-92.777354,28.60029,497
22670,C,-92.794326,28.595177,498
22669,E,-92.805935,28.622119,499
21906,F,-92.79354,28.615189,500
22658,D,-92.769392,28.614865,501
23337,A,-92.696445,28.601426,502
24029,A,-92.652473,28.601646,503
1636,B,-92.62023839,28.63500119,504
27033,A,-92.63218637,28.58465587,505
22381,A,-92.658185,28.586472,506
23696,G,-92.762865,28.582592,507
22459,A,-92.782176,28.58045,508
599,B,-92.79946112,28.55761101,509
2393,C,-92.78227902,28.56783277,510
22459,JA,-92.782468,28.581451,511
20623,A,-92.971889,28.52839,512
25001,TETCO-VALVE,-92.97929901,28.54751281,513
24000,A,-92.93093,28.529327,514
2357,B,-92.94985011,28.52539143,515
20677,B,-92.637007,28.479903,516
20677,B-AUX1,-92.63679,28.479905,517
20755,F,-92.664904,28.475478,518
21336,A,-92.742038,28.476209,519
1062,A,-92.74208174,28.48493872,520
20502,A,-92.914782,28.471907,521
22124,A,-92.98594,28.457793,522
810,B,-92.9731647,28.43456753,523
853,B,-92.9251027,28.45205617,524
21441,A,-92.871456,28.432589,525
21441,A-AUX1,-92.871459,28.432781,526
1649,D,-92.87869426,28.44398591,527
518,GP-VALVE,-92.8776665,28.43738215,528
1144,A,-92.79244563,28.46828723,529
23639,A,-92.811673,28.462111,530
1806,B,-92.75428149,28.4654251,531
20534,A,-92.664111,28.462043,532
20557,B,-92.663785,28.443328,533
1938,I,-92.63285678,28.45567248,534
20940,A,-92.628529,28.418941,535
20940,A-AUX1,-92.628501,28.418468,536
21467,C,-92.630906,28.427502,537
21467,C-AUX1,-92.630595,28.427505,538
20670,D,-92.63328278,28.4144965,539
20670,D-AUX1,-92.632972,28.4145,540
20670,E,-92.632362,28.415204,541
21946,G,-92.62903,28.404849,542
23009,H,-92.63608688,28.42432879,543
20683,A,-92.658529,28.430415,544
20683,A-AUX1,-92.658526,28.43014,545
592,A,-92.75923562,28.41663091,546
33038,A,-92.80562875,28.40166773,547
23142,B,-92.87816,28.428907,548
23336,C,-92.885666,28.400153,549
24099,A,-92.961975,28.42793,550
22080,C,-92.98291,28.419408,551
22080,C-AUX,-92.982913,28.419586,552
22396,5,-92.992864,28.376824,553
21764,A,-92.975304,28.382316,554
21764,A-AUX,-92.974962,28.38232,555
21879,B(Removed),-92.984811,28.367937,556
21879,B-AUX(Removed),-92.985019,28.367935,557
23341,A,-92.906592,28.373184,558
1619,C,-92.94335811,28.35941269,559
23340,B,-92.885119,28.386535,560
21136,A,-92.729546,28.360101,561
23383,B,-92.750447,28.385081,562
264,C,-92.72125292,28.37965815,563
22214,A,-92.783241,28.330703,564
1051,A,-92.77410284,28.31918183,565
23695,B,-92.915737,28.317009,566
1841,E,-92.99182992,28.31627346,567
23015,A,-92.983317,28.301407,568
23015,B,-92.984086,28.300946,569
23325,A,-92.920327,28.297608,570
90027,A,-92.78507702,28.27968432,571
934,A,-92.67968584,28.28176664,572
24031,A (REMOVED),-92.660499,28.28183,573
23377,AJ,-92.73184,28.242332,574
2071,B,-92.75250207,28.24855165,575
1339,C,-92.79851413,28.23911365,576
23381,A,-92.829666,28.259082,577
23385,B,-92.833934,28.230858,578
23361,A,-92.951866,28.208388,579
1836,B,-92.92533235,28.2188767,580
27025,A,-92.84860402,28.21309756,581
20744,A,-92.79438984,28.21982807,582
22803,B,-92.795281,28.199985,583
21763,A,-92.719066,28.19854,584
27008,A,-92.6959886,28.17909569,585
1991,B,-92.68553181,28.17394296,586
2387,C,-92.6945184,28.18007074,587
23098,A,-92.797981,28.155487,588
22696,B,-92.786999,28.179694,589
24085,A,-92.862457,28.164072,590
21907,B,-92.979509,28.145659,591
27065,D,-92.96099431,28.17529172,592
32037,E,-92.99082483,28.17172038,593
32,F,-92.98935231,28.16133215,594
21892,A,-92.976058,28.121983,595
22336,C,-92.952916,28.137807,596
22404,A,-92.934281,28.112793,597
21502,A,-92.823561,28.11745,598
22294,B,-92.834148,28.131544,599
2063,A,-92.78052718,28.12992637,600
805,A,-92.63142649,28.08614485,601
932,A,-92.65965014,28.06801472,602
23666,A,-92.698957,28.07403,603
22434,A,-92.734352,28.105157,604
90015,A,-92.837675,28.07401533,605
22106,A,-92.946719,28.062804,606
22392,A,-92.707339,28.051894,607
806,A,-92.69114975,28.02491323,608
1203,A,-92.86473671,28.00956786,609
1011,A,-92.92586847,28.01447004,610
70,A,-92.87724959,27.94376265,611
